abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCMIDCO","=""05/31/2018 00:00""","238","cfs","","","=""05/31/2018 23:45""",
"BOCMIDCO","=""06/01/2018 00:00""","238","cfs","","","=""06/01/2018 23:45""",
"BOCMIDCO","=""06/02/2018 00:00""","220","cfs","","","=""06/02/2018 23:45""",
"BOCMIDCO","=""06/03/2018 00:00""","202","cfs","","","=""06/03/2018 23:45""",
"BOCMIDCO","=""06/04/2018 00:00""","204","cfs","","","=""06/04/2018 23:45""",
"BOCMIDCO","=""06/05/2018 00:00""","230","cfs","","","=""06/05/2018 23:45""",
"BOCMIDCO","=""06/06/2018 00:00""","227","cfs","","","=""06/06/2018 23:45""",
"BOCMIDCO","=""06/07/2018 00:00""","214","cfs","","","=""06/07/2018 23:45""",
"BOCMIDCO","=""06/08/2018 00:00""","203","cfs","","","=""06/08/2018 23:45""",
"BOCMIDCO","=""06/09/2018 00:00""","201","cfs","","","=""06/09/2018 23:45""",
"BOCMIDCO","=""06/10/2018 00:00""","210","cfs","","","=""06/10/2018 23:45""",
"BOCMIDCO","=""06/11/2018 00:00""","193","cfs","","","=""06/11/2018 23:45""",
"BOCMIDCO","=""06/12/2018 00:00""","180","cfs","","","=""06/12/2018 23:45""",
"BOCMIDCO","=""06/13/2018 00:00""","189","cfs","","","=""06/13/2018 23:45""",
"BOCMIDCO","=""06/14/2018 00:00""","197","cfs","","","=""06/14/2018 23:45""",
"BOCMIDCO","=""06/15/2018 00:00""","193","cfs","","","=""06/15/2018 23:45""",
"BOCMIDCO","=""06/16/2018 00:00""","191","cfs","","","=""06/16/2018 23:45""",
"BOCMIDCO","=""06/17/2018 00:00""","220","cfs","","","=""06/17/2018 23:45""",
"BOCMIDCO","=""06/18/2018 00:00""","305","cfs","","","=""06/18/2018 23:45""",
"BOCMIDCO","=""06/19/2018 00:00""","226","cfs","","","=""06/19/2018 23:45""",
"BOCMIDCO","=""06/20/2018 00:00""","188","cfs","","","=""06/20/2018 23:45""",
"BOCMIDCO","=""06/21/2018 00:00""","176","cfs","","","=""06/21/2018 23:45""",
"BOCMIDCO","=""06/22/2018 00:00""","166","cfs","","","=""06/22/2018 23:45""",
"BOCMIDCO","=""06/23/2018 00:00""","146","cfs","","","=""06/23/2018 23:45""",
"BOCMIDCO","=""06/24/2018 00:00""","139","cfs","","","=""06/24/2018 23:45""",
"BOCMIDCO","=""06/25/2018 00:00""","121","cfs","","","=""06/25/2018 23:45""",
"BOCMIDCO","=""06/26/2018 00:00""","117","cfs","","","=""06/26/2018 23:45""",
"BOCMIDCO","=""06/27/2018 00:00""","117","cfs","","","=""06/27/2018 23:45""",
"BOCMIDCO","=""06/28/2018 00:00""","117","cfs","","","=""06/28/2018 23:45""",
"BOCMIDCO","=""06/29/2018 00:00""","118","cfs","","","=""06/29/2018 23:45""",
"BOCMIDCO","=""06/30/2018 00:00""","110","cfs","","","=""06/30/2018 23:45""",
"BOCMIDCO","=""07/01/2018 00:00""","97","cfs","","","=""07/01/2018 23:45""",
"BOCMIDCO","=""07/02/2018 00:00""","88.5","cfs","","","=""07/02/2018 23:45""",
"BOCMIDCO","=""07/03/2018 00:00""","73.1","cfs","","","=""07/03/2018 23:45""",
"BOCMIDCO","=""07/04/2018 00:00""","69.3","cfs","","","=""07/04/2018 23:45""",
"BOCMIDCO","=""07/05/2018 00:00""","72","cfs","","","=""07/05/2018 23:45""",
"BOCMIDCO","=""07/06/2018 00:00""","72.4","cfs","","","=""07/06/2018 23:45""",
"BOCMIDCO","=""07/07/2018 00:00""","73","cfs","","","=""07/07/2018 23:45""",
"BOCMIDCO","=""07/08/2018 00:00""","72.6","cfs","","","=""07/08/2018 23:45""",
"BOCMIDCO","=""07/09/2018 00:00""","69.9","cfs","","","=""07/09/2018 23:45""",
"BOCMIDCO","=""07/10/2018 00:00""","70.2","cfs","","","=""07/10/2018 23:45""",
"BOCMIDCO","=""07/11/2018 00:00""","65.3","cfs","","","=""07/11/2018 23:45""",
"BOCMIDCO","=""07/12/2018 00:00""","64.5","cfs","","","=""07/12/2018 23:45""",
"BOCMIDCO","=""07/13/2018 00:00""","60.6","cfs","","","=""07/13/2018 23:45""",
"BOCMIDCO","=""07/14/2018 00:00""","54.3","cfs","","","=""07/14/2018 23:45""",
"BOCMIDCO","=""07/15/2018 00:00""","51.9","cfs","","","=""07/15/2018 23:45""",
"BOCMIDCO","=""07/16/2018 00:00""","48.4","cfs","","","=""07/16/2018 23:45""",
"BOCMIDCO","=""07/17/2018 00:00""","46","cfs","","","=""07/17/2018 23:45""",
"BOCMIDCO","=""07/18/2018 00:00""","44.5","cfs","","","=""07/18/2018 23:45""",
"BOCMIDCO","=""07/19/2018 00:00""","42.9","cfs","","","=""07/19/2018 23:45""",
"BOCMIDCO","=""07/20/2018 00:00""","40.5","cfs","","","=""07/20/2018 23:45""",
"BOCMIDCO","=""07/21/2018 00:00""","35.5","cfs","","","=""07/21/2018 23:45""",
"BOCMIDCO","=""07/22/2018 00:00""","36","cfs","","","=""07/22/2018 23:45""",
"BOCMIDCO","=""07/23/2018 00:00""","41.9","cfs","","","=""07/23/2018 23:45""",
"BOCMIDCO","=""07/24/2018 00:00""","49.6","cfs","","","=""07/24/2018 23:45""",
"BOCMIDCO","=""07/25/2018 00:00""","47","cfs","","","=""07/25/2018 23:45""",
"BOCMIDCO","=""07/26/2018 00:00""","49.7","cfs","","","=""07/26/2018 23:45""",
"BOCMIDCO","=""07/27/2018 00:00""","46.3","cfs","","","=""07/27/2018 23:45""",
"BOCMIDCO","=""07/28/2018 00:00""","44","cfs","","","=""07/28/2018 23:45""",
"BOCMIDCO","=""07/29/2018 00:00""","41","cfs","","","=""07/29/2018 23:45""",
"BOCMIDCO","=""07/30/2018 00:00""","38.7","cfs","","","=""07/30/2018 23:45""",
"BOCMIDCO","=""07/31/2018 00:00""","37","cfs","","","=""07/31/2018 23:45""",
"BOCMIDCO","=""08/01/2018 00:00""","35.2","cfs","","","=""08/01/2018 23:45""",
"BOCMIDCO","=""08/02/2018 00:00""","33","cfs","","","=""08/02/2018 23:45""",
"BOCMIDCO","=""08/03/2018 00:00""","32.3","cfs","","","=""08/03/2018 23:45""",
"BOCMIDCO","=""08/04/2018 00:00""","33.4","cfs","","","=""08/04/2018 23:45""",
"BOCMIDCO","=""08/05/2018 00:00""","32","cfs","","","=""08/05/2018 23:45""",
"BOCMIDCO","=""08/06/2018 00:00""","28","cfs","","","=""08/06/2018 23:45""",
"BOCMIDCO","=""08/07/2018 00:00""","25.6","cfs","","","=""08/07/2018 23:45""",
"BOCMIDCO","=""08/08/2018 00:00""","23.8","cfs","","","=""08/08/2018 23:45""",
"BOCMIDCO","=""08/09/2018 00:00""","22.4","cfs","","","=""08/09/2018 23:45""",
"BOCMIDCO","=""08/10/2018 00:00""","21.1","cfs","","","=""08/10/2018 23:45""",
"BOCMIDCO","=""08/11/2018 00:00""","20.4","cfs","","","=""08/11/2018 23:45""",
"BOCMIDCO","=""08/12/2018 00:00""","18.9","cfs","","","=""08/12/2018 23:45""",
"BOCMIDCO","=""08/13/2018 00:00""","17.8","cfs","","","=""08/13/2018 23:45""",
"BOCMIDCO","=""08/14/2018 00:00""","17.4","cfs","","","=""08/14/2018 23:45""",
"BOCMIDCO","=""08/15/2018 00:00""","17.4","cfs","","","=""08/15/2018 23:45""",
"BOCMIDCO","=""08/16/2018 00:00""","15.4","cfs","","","=""08/16/2018 23:45""",
"BOCMIDCO","=""08/17/2018 00:00""","15.1","cfs","","","=""08/17/2018 23:45""",
"BOCMIDCO","=""08/18/2018 00:00""","15.6","cfs","","","=""08/18/2018 23:45""",
"BOCMIDCO","=""08/19/2018 00:00""","16.7","cfs","","","=""08/19/2018 23:45""",
"BOCMIDCO","=""08/20/2018 00:00""","15.2","cfs","","","=""08/20/2018 23:45""",
"BOCMIDCO","=""08/21/2018 00:00""","17.6","cfs","","","=""08/21/2018 23:45""",
"BOCMIDCO","=""08/22/2018 00:00""","18","cfs","","","=""08/22/2018 23:45""",
"BOCMIDCO","=""08/23/2018 00:00""","17.2","cfs","","","=""08/23/2018 23:45""",
"BOCMIDCO","=""08/24/2018 00:00""","14.7","cfs","","","=""08/24/2018 23:45""",
"BOCMIDCO","=""08/25/2018 00:00""","13.1","cfs","","","=""08/25/2018 23:45""",
"BOCMIDCO","=""08/26/2018 00:00""","12","cfs","","","=""08/26/2018 23:45""",
"BOCMIDCO","=""08/27/2018 00:00""","15.4","cfs","","","=""08/27/2018 23:45""",
"BOCMIDCO","=""08/28/2018 00:00""","13.2","cfs","","","=""08/28/2018 23:45""",
"BOCMIDCO","=""08/29/2018 00:00""","12.3","cfs","","","=""08/29/2018 23:45""",
"BOCMIDCO","=""08/30/2018 00:00""","11.1","cfs","","","=""08/30/2018 23:45""",
"BOCMIDCO","=""08/31/2018 00:00""","10.2","cfs","","","=""08/31/2018 23:45""",
"BOCMIDCO","=""09/01/2018 00:00""","10.2","cfs","","","=""09/01/2018 23:45""",
"BOCMIDCO","=""09/02/2018 00:00""","9.97","cfs","","","=""09/02/2018 23:45""",
"BOCMIDCO","=""09/03/2018 00:00""","9.85","cfs","","","=""09/03/2018 23:45""",
"BOCMIDCO","=""09/04/2018 00:00""","9.64","cfs","","","=""09/04/2018 23:45""",
"BOCMIDCO","=""09/05/2018 00:00""","15","cfs","","","=""09/05/2018 23:45""",
"BOCMIDCO","=""09/06/2018 00:00""","17.4","cfs","","","=""09/06/2018 23:45""",
"BOCMIDCO","=""09/07/2018 00:00""","13.2","cfs","","","=""09/07/2018 23:45""",
"BOCMIDCO","=""09/08/2018 00:00""","11.9","cfs","","","=""09/08/2018 23:45""",
"BOCMIDCO","=""09/09/2018 00:00""","11.9","cfs","","","=""09/09/2018 23:45""",
"BOCMIDCO","=""09/10/2018 00:00""","12.3","cfs","","","=""09/10/2018 23:45""",
"BOCMIDCO","=""09/11/2018 00:00""","10.2","cfs","","","=""09/11/2018 23:45""",
"BOCMIDCO","=""09/12/2018 00:00""","9.14","cfs","","","=""09/12/2018 23:45""",
"BOCMIDCO","=""09/13/2018 00:00""","8.69","cfs","","","=""09/13/2018 23:45""",
"BOCMIDCO","=""09/14/2018 00:00""","8.3","cfs","","","=""09/14/2018 23:45""",
"BOCMIDCO","=""09/15/2018 00:00""","8.02","cfs","","","=""09/15/2018 23:45""",
"BOCMIDCO","=""09/16/2018 00:00""","7.78","cfs","","","=""09/16/2018 23:45""",
"BOCMIDCO","=""09/17/2018 00:00""","7.42","cfs","","","=""09/17/2018 23:45""",
"BOCMIDCO","=""09/18/2018 00:00""","7.62","cfs","","","=""09/18/2018 23:45""",
"BOCMIDCO","=""09/19/2018 00:00""","7.91","cfs","","","=""09/19/2018 23:45""",
"BOCMIDCO","=""09/20/2018 00:00""","8.81","cfs","","","=""09/20/2018 23:45""",
"BOCMIDCO","=""09/21/2018 00:00""","9.72","cfs","","","=""09/21/2018 23:45""",
"BOCMIDCO","=""09/22/2018 00:00""","8.11","cfs","","","=""09/22/2018 23:45""",
"BOCMIDCO","=""09/23/2018 00:00""","6.83","cfs","","","=""09/23/2018 23:45""",
"BOCMIDCO","=""09/24/2018 00:00""","6.98","cfs","","","=""09/24/2018 23:45""",
"BOCMIDCO","=""09/25/2018 00:00""","8.28","cfs","","","=""09/25/2018 23:45""",
"BOCMIDCO","=""09/26/2018 00:00""","7.79","cfs","","","=""09/27/2018 00:25""",
"BOCMIDCO","=""09/27/2018 00:00""","8.81","cfs","","","=""09/28/2018 00:23""",
"BOCMIDCO","=""09/28/2018 00:00""","7.86","cfs","","","=""09/29/2018 00:23""",
"BOCMIDCO","=""09/29/2018 00:00""","6.95","cfs","","","=""09/30/2018 00:23""",
"BOCMIDCO","=""09/30/2018 00:00""","6.66","cfs","","","=""10/01/2018 00:22""",
